Fact_ID,Date,Security_ID,Measure,Value
834,2018-04-25,20,Volume,6205400
835,2018-04-26,20,Open,198.67999
835,2018-04-26,20,High,199.63001
835,2018-04-26,20,Low,196.17
835,2018-04-26,20,Close,197.09
835,2018-04-26,20,AdjClose,177.34943
835,2018-04-26,20,Volume,4124300
836,2018-04-27,20,Open,196.77
836,2018-04-27,20,High,197.11
836,2018-04-27,20,Low,194.39999
836,2018-04-27,20,Close,196.12
836,2018-04-27,20,AdjClose,176.47656
836,2018-04-27,20,Volume,3354800
837,2018-04-30,20,Open,196.96001
837,2018-04-30,20,High,198.34
837,2018-04-30,20,Low,194.17999
837,2018-04-30,20,Close,194.39
837,2018-04-30,20,AdjClose,174.91988
837,2018-04-30,20,Volume,4008700
838,2018-05-01,20,Open,194.03
838,2018-05-01,20,High,195.53999
838,2018-05-01,20,Low,191.44
838,2018-05-01,20,Close,195.02
838,2018-05-01,20,AdjClose,175.48677
838,2018-05-01,20,Volume,4710500
839,2018-05-02,20,Open,195.14999
839,2018-05-02,20,High,196.41
839,2018-05-02,20,Low,194.02
839,2018-05-02,20,Close,194.5
839,2018-05-02,20,AdjClose,175.01888
839,2018-05-02,20,Volume,4017600
840,2018-05-03,20,Open,194.52
840,2018-05-03,20,High,196.7
840,2018-05-03,20,Low,192.35001
840,2018-05-03,20,Close,195.67999
840,2018-05-03,20,AdjClose,176.08067
840,2018-05-03,20,Volume,3425900
841,2018-05-04,20,Open,195.07001
841,2018-05-04,20,High,199.92999
841,2018-05-04,20,Low,194.06
841,2018-05-04,20,Close,199.36
841,2018-05-04,20,AdjClose,179.39209
841,2018-05-04,20,Volume,3071700
842,2018-05-07,20,Open,200.06
842,2018-05-07,20,High,201
842,2018-05-07,20,Low,199.58
842,2018-05-07,20,Close,200.26
842,2018-05-07,20,AdjClose,180.20187
842,2018-05-07,20,Volume,2863400
843,2018-05-08,20,Open,200
843,2018-05-08,20,High,202.11
843,2018-05-08,20,Low,199.56
843,2018-05-08,20,Close,201.74001
843,2018-05-08,20,AdjClose,181.53368
843,2018-05-08,20,Volume,3273500
844,2018-05-09,20,Open,202.03
844,2018-05-09,20,High,204.73
